Timestamp,Position_X,Position_Y,Position_Z,Rotation_X,Rotation_Y,Rotation_Z,IsTargetTrace,StrokeID,TargetID,TrailTypeID
135.2598,-0.08788949,0.03169437,-0.2138841,82.07762,1.508191,269.6936,True,21,5,0
135.2626,-0.08783855,0.03158899,-0.2139057,82.0983,1.714463,269.9022,True,21,5,0
135.2659,-0.08814096,0.03149642,-0.2137962,82.09532,1.160207,269.3889,True,21,5,0
135.2749,-0.08802454,0.03114876,-0.2138657,82.15733,1.947821,270.166,True,21,5,0
135.278,-0.08799409,0.03103955,-0.2138835,82.17763,2.147023,270.368,True,21,5,0
135.2809,-0.08796676,0.03094175,-0.2138993,82.19586,2.326362,270.55,True,21,5,0
135.2839,-0.08756436,0.03088343,-0.2135458,82.0948,3.288838,271.4703,True,21,5,0
135.2871,-0.08751929,0.03077014,-0.2135531,82.11148,3.524692,271.7077,True,21,5,0
135.2901,-0.08749557,0.03067015,-0.2135969,82.14262,3.669068,271.8418,True,21,5,0
135.2934,-0.08745141,0.0305678,-0.2136039,82.15842,3.887696,272.0615,True,21,5,0
135.296,-0.08741073,0.03047374,-0.2136103,82.17286,4.089676,272.2645,True,21,5,0
135.2994,-0.08763012,0.03036617,-0.2137076,82.22302,3.724598,271.9106,True,21,5,0
135.3032,-0.08758435,0.03024851,-0.213718,82.24248,3.966985,272.1546,True,21,5,0
135.3069,-0.08793157,0.03002261,-0.2140497,82.3583,3.367103,271.6151,True,21,5,0
135.3101,-0.08790424,0.02991094,-0.2140728,82.37841,3.550955,271.8022,True,21,5,0
135.3131,-0.0878755,0.02979386,-0.2140969,82.39925,3.744825,271.9996,True,21,5,0
135.3168,-0.0879337,0.02964273,-0.2143641,82.49554,3.758506,272.0198,True,21,5,0
135.3232,-0.08780551,0.02942416,-0.2140333,82.44212,4.237751,272.5005,True,21,5,0
135.3265,-0.08777761,0.02931723,-0.2140427,82.45972,4.411886,272.6776,True,21,5,0
135.3292,-0.08775267,0.02922192,-0.2140511,82.47549,4.567802,272.8362,True,21,5,0
135.3328,-0.0876832,0.02911456,-0.2140096,82.48978,4.970575,273.2778,True,21,5,0
135.3362,-0.08765767,0.02900602,-0.2140141,82.50784,5.162704,273.4742,True,21,5,0
135.3393,-0.08763245,0.02889918,-0.2140185,82.52562,5.352924,273.6685,True,21,5,0
135.3423,-0.08719417,0.02870923,-0.2141905,82.57276,6.569188,274.9269,True,21,5,0
135.3447,-0.0871628,0.0286085,-0.2142006,82.58823,6.764936,275.1272,True,21,5,0
135.3476,-0.08712985,0.02850299,-0.2142112,82.60429,6.97101,275.3381,True,21,5,0
135.351,-0.08713439,0.02834275,-0.2143718,82.65858,7.285581,275.604,True,21,5,0
135.3544,-0.08710223,0.02820988,-0.2143929,82.67914,7.544478,275.867,True,21,5,0
135.3576,-0.08728111,0.02809054,-0.2141399,82.6096,7.054522,275.301,True,21,5,0
135.3607,-0.08725585,0.02798682,-0.2141547,82.62305,7.230497,275.4781,True,21,5,0
135.3633,-0.08722956,0.02787915,-0.2141699,82.63702,7.413995,275.6627,True,21,5,0
135.3665,-0.08700666,0.02775113,-0.2141493,82.6374,7.791076,276.0217,True,21,5,0
135.37,-0.08695577,0.02762446,-0.2141668,82.65298,8.013423,276.2447,True,21,5,0
135.3732,-0.08672943,0.02753697,-0.2141395,82.64379,8.380646,276.6076,True,21,5,0
135.3834,-0.08668619,0.02711199,-0.2143513,82.75668,8.875309,277.1399,True,21,5,0
135.388,-0.08661195,0.02695739,-0.2143739,82.77712,9.158687,277.4253,True,21,5,0
135.3909,-0.08672085,0.02685645,-0.2141282,82.73293,8.820184,277.0978,True,21,5,0
135.394,-0.08667531,0.02675679,-0.2141337,82.74488,8.984705,277.2635,True,21,5,0
135.3965,-0.08663037,0.02665859,-0.214139,82.75673,9.147403,277.4274,True,21,5,0
135.4005,-0.08634008,0.0264473,-0.2143279,82.82411,10.04291,278.3816,True,21,5,0
135.4044,-0.08627533,0.02631585,-0.2143392,82.84043,10.2813,278.6235,True,21,5,0
135.4079,-0.08593861,0.02625495,-0.214493,82.86997,11.16815,279.5483,True,21,5,0
135.4105,-0.08587477,0.02615522,-0.2145115,82.88351,11.3893,279.7733,True,21,5,0
135.4132,-0.08582008,0.02606992,-0.2145272,82.895,11.57927,279.9667,True,21,5,0
135.4176,-0.08551653,0.02596886,-0.2147418,82.95583,12.53423,280.9597,True,21,5,0
135.4258,-0.08518311,0.0257114,-0.2148214,82.99151,13.7483,282.1622,True,21,5,0
135.4287,-0.0851234,0.02563067,-0.2148415,83.00338,13.9844,282.402,True,21,5,0
135.4323,-0.08503766,0.02551496,-0.2148701,83.0202,14.32459,282.7474,True,21,5,0
135.4356,-0.08491395,0.02535163,-0.2148708,83.00314,14.84013,283.3036,True,21,5,0
135.4388,-0.08485055,0.02525313,-0.2148977,83.01486,15.11487,283.5835,True,21,5,0
135.4419,-0.08517595,0.02515914,-0.214606,82.95839,14.27724,282.7576,True,21,5,0
135.4445,-0.0851258,0.02506039,-0.2146249,82.96837,14.51266,282.9982,True,21,5,0
135.4478,-0.08507125,0.02495316,-0.2146452,82.97915,14.76924,283.2605,True,21,5,0
135.451,-0.08507429,0.02490562,-0.2146334,82.97227,14.8505,283.3921,True,21,5,0
135.4543,-0.08501792,0.02479894,-0.2146588,82.98295,15.12054,283.6698,True,21,5,0
135.4573,-0.08463775,0.0246539,-0.2147131,82.97144,16.1663,284.7298,True,21,5,0
135.4603,-0.08458468,0.02456445,-0.2147348,82.97851,16.40047,284.9701,True,21,5,0
135.463,-0.08452518,0.02446428,-0.214759,82.98636,16.66334,285.2399,True,21,5,0
135.4664,-0.08424433,0.02437766,-0.2148894,83.00939,17.39565,285.9906,True,21,5,0
135.4706,-0.08414672,0.02424982,-0.2149272,83.01967,17.77039,286.375,True,21,5,0
135.4736,-0.08406991,0.02419095,-0.2146077,82.93964,17.86135,286.4482,True,21,5,0
135.4797,-0.08391256,0.02398612,-0.2146332,82.94971,18.45614,287.0571,True,21,5,0
