Cycle,Direction,Time_ms,Encoder_Count,Target_Count
2,Extending,235.02,1898,8273
2,Extending,240.004,1948,8273
2,Extending,245.064,1998,8273
2,Extending,250.072,2048,8273
2,Extending,255.004,2097,8273
2,Extending,260.064,2147,8273
2,Extending,265.072,2197,8273
2,Extending,270.008,2246,8273
2,Extending,275.072,2296,8273
2,Extending,280.0,2345,8273
2,Extending,285.004,2395,8273
2,Extending,290.008,2445,8273
2,Extending,295.012,2495,8273
2,Extending,300.028,2545,8273
2,Extending,305.04,2595,8273
2,Extending,310.048,2645,8273
2,Extending,315.04,2695,8273
2,Extending,320.04,2744,8273
2,Extending,325.048,2794,8273
2,Extending,330.056,2844,8273
2,Extending,335.068,2894,8273
2,Extending,340.0,2943,8273
2,Extending,345.0,2993,8273
2,Extending,350.0,3043,8273
2,Extending,355.0,3093,8273
2,Extending,360.004,3143,8273
2,Extending,365.064,3193,8273
2,Extending,370.076,3243,8273
2,Extending,375.008,3292,8273
2,Extending,380.016,3342,8273
2,Extending,385.028,3392,8273
2,Extending,390.04,3442,8273
2,Extending,395.044,3492,8273
2,Extending,400.06,3542,8273
2,Extending,405.064,3592,8273
2,Extending,410.068,3642,8273
2,Extending,415.004,3691,8273
2,Extending,420.008,3741,8273
2,Extending,425.012,3791,8273
2,Extending,430.028,3841,8273
2,Extending,435.04,3891,8273
2,Extending,440.044,3941,8273
2,Extending,445.056,3991,8273
2,Extending,450.064,4041,8273
2,Extending,455.004,4090,8273
2,Extending,460.008,4140,8273
2,Extending,465.012,4190,8273
2,Extending,470.028,4240,8273
2,Extending,475.04,4290,8273
2,Extending,480.048,4340,8273
2,Extending,485.056,4390,8273
2,Extending,490.068,4440,8273
2,Extending,495.076,4490,8273
2,Extending,500.012,4540,8273
2,Extending,505.04,4590,8273
2,Extending,510.032,4640,8273
2,Extending,515.064,4690,8273
2,Extending,520.076,4740,8273
2,Extending,525.012,4789,8273
2,Extending,530.024,4839,8273
2,Extending,535.032,4889,8273
2,Extending,540.044,4939,8273
2,Extending,545.056,4989,8273
2,Extending,550.008,5039,8273
2,Extending,555.012,5089,8273
2,Extending,560.028,5139,8273
2,Extending,565.036,5189,8273
2,Extending,570.052,5239,8273
2,Extending,575.064,5289,8273
2,Extending,580.072,5339,8273
2,Extending,585.008,5388,8273
2,Extending,590.012,5438,8273
2,Extending,595.024,5488,8273
2,Extending,600.04,5538,8273
2,Extending,605.044,5588,8273
2,Extending,610.0,5638,8273
2,Extending,615.0,5687,8273
2,Extending,620.056,5738,8273
2,Extending,625.068,5788,8273
2,Extending,630.02,5838,8273
2,Extending,635.024,5888,8273
2,Extending,640.04,5938,8273
2,Extending,645.044,5988,8273
2,Extending,650.056,6038,8273
2,Extending,655.072,6088,8273
2,Extending,660.004,6137,8273
2,Extending,665.008,6187,8273
2,Extending,670.016,6237,8273
2,Extending,675.028,6287,8273
2,Extending,680.04,6337,8273
2,Extending,685.044,6387,8273
2,Extending,690.0,6437,8273
2,Extending,695.0,6486,8273
2,Extending,700.056,6537,8273
2,Extending,705.064,6587,8273
2,Extending,710.0,6637,8273
2,Extending,715.0,6686,8273
2,Extending,720.0,6736,8273
2,Extending,725.004,6786,8273
2,Extending,730.008,6836,8273
2,Extending,735.012,6886,8273
2,Extending,740.028,6936,8273
2,Extending,745.04,6986,8273
2,Extending,750.04,7036,8273
2,Extending,755.048,7086,8273
2,Extending,760.06,7136,8273
2,Extending,765.068,7186,8273
2,Extending,770.004,7235,8273
2,Extending,775.008,7286,8273
2,Extending,780.016,7336,8273
2,Extending,785.0,7385,8273
2,Extending,790.012,7435,8273
2,Extending,795.024,7484,8273
2,Extending,800.016,7532,8273
2,Extending,805.008,7579,8273
2,Extending,810.032,7627,8273
2,Extending,815.004,7673,8273
2,Extending,820.028,7720,8273
2,Extending,825.04,7766,8273
2,Extending,830.1,7812,8273
2,Extending,835.02,7856,8273
2,Extending,840.068,7901,8273
2,Extending,845.044,7945,8273
2,Extending,850.016,7989,8273
2,Extending,855.056,8033,8273
2,Extending,860.012,8076,8273
2,Extending,865.024,8116,8273
2,Extending,870.032,8151,8273
2,Extending,875.012,8179,8273
2,Extending,880.008,8201,8273
2,Extending,885.012,8219,8273
2,Extending,890.068,8232,8273
2,Extending,895.0,8241,8273
2,Extending,900.052,8246,8273
2,Extending,905.036,8253,8273
2,Extending,910.004,8260,8273
2,Extending,915.056,8267,8273
2,Extending,920.016,8273,8273
2,Extending,925.0,8278,8273
2,Extending,930.012,8283,8273
2,Extending,935.056,8287,8273
2,Extending,940.04,8290,8273
2,Extending,945.016,8291,8273
2,Extending,950.032,8289,8273
2,Extending,955.036,8287,8273
2,Extending,960.012,8285,8273
2,Extending,965.012,8284,8273
2,Extending,970.056,8284,8273
2,Extending,975.048,8284,8273
2,Extending,980.04,8284,8273
2,Extending,985.024,8284,8273
2,Extending,990.016,8284,8273
2,Extending,995.008,8284,8273
2,Extending,1000.068,8284,8273
2,Extending,1005.028,8284,8273
2,Extending,1010.06,8284,8273
2,Extending,1015.016,8284,8273
2,Extending,1020.052,8284,8273
2,Extending,1025.012,8284,8273
2,Extending,1030.048,8284,8273
2,Extending,1035.004,8284,8273
2,Extending,1040.032,8284,8273
2,Extending,1045.068,8284,8273
2,Extending,1050.02,8284,8273
2,Extending,1055.052,8284,8273
2,Extending,1060.012,8284,8273
2,Extending,1065.048,8284,8273
2,Extending,1070.004,8284,8273
2,Extending,1075.032,8284,8273
2,Extending,1080.068,8284,8273
2,Extending,1085.024,8284,8273
2,Extending,1090.052,8284,8273
2,Extending,1095.012,8284,8273
2,Extending,1100.044,8284,8273
2,Extending,1105.004,8284,8273
2,Extending,1110.032,8284,8273
2,Extending,1115.068,8284,8273
2,Extending,1120.024,8284,8273
2,Extending,1125.06,8284,8273
2,Extending,1130.004,8284,8273
2,Extending,1135.032,8284,8273
2,Extending,1140.068,8284,8273
2,Extending,1145.028,8284,8273
2,Extending,1150.06,8284,8273
2,Extending,1155.016,8284,8273
2,Extending,1160.048,8284,8273
2,Extending,1165.008,8284,8273
2,Extending,1170.032,8284,8273
2,Extending,1175.064,8284,8273
2,Extending,1180.02,8284,8273
2,Extending,1185.048,8284,8273
2,Extending,1190.008,8284,8273
2,Extending,1195.036,8284,8273
2,Extending,1200.072,8284,8273
2,Extending,1205.028,8284,8273
2,Extending,1210.064,8284,8273
2,Extending,1215.016,8284,8273
2,Extending,1220.052,8284,8273
2,Extending,1225.008,8284,8273
2,Extending,1230.036,8284,8273
2,Extending,1235.072,8284,8273
2,Extending,1240.032,8284,8273
2,Extending,1245.068,8284,8273
2,Extending,1250.024,8284,8273
2,Extending,1255.064,8284,8273
2,Extending,1260.016,8284,8273
2,Extending,1265.052,8284,8273
2,Extending,1270.012,8284,8273
2,Extending,1275.048,8284,8273
2,Extending,1280.004,8284,8273
2,Extending,1285.032,8284,8273
2,Extending,1290.064,8284,8273
2,Extending,1295.024,8284,8273
2,Extending,1300.056,8284,8273
2,Extending,1305.008,8284,8273
2,Extending,1310.036,8284,8273
2,Extending,1315.068,8284,8273
2,Extending,1320.028,8284,8273
2,Extending,1325.06,8284,8273
2,Extending,1330.012,8284,8273
2,Extending,1335.048,8284,8273
2,Extending,1340.008,8284,8273
2,Extending,1345.028,8284,8273
2,Extending,1350.06,8284,8273
2,Extending,1355.088,8284,8273
2,Extending,1360.028,8284,8273
2,Extending,1365.072,8284,8273
2,Extending,1370.032,8284,8273
2,Extending,1375.064,8284,8273
2,Extending,1380.024,8284,8273
2,Extending,1385.056,8284,8273
2,Extending,1390.012,8284,8273
2,Extending,1395.044,8284,8273
